Age,Qualifications,Tasks_completed,Due_tasks,Awards,Experience,AttendancePercentage,promoted
23,B.Tech,32,19,14,9,58.08,0
37,BBA,39,1,4,4,65.01,0
47,BSC,63,15,2,18,77.48,1
32,MBA,59,15,6,18,55.37,1
31,BSC,62,4,9,11,78.88,1
53,MSC,14,17,8,12,94.04,0
21,PhD,27,16,3,12,76.56,0
60,B.Tech,48,19,3,10,61.72,0
53,BBA,14,2,14,13,85.12,0
35,BSC,64,6,5,26,51.92,0
42,BBA,34,4,7,29,63.88,0
56,M.Tech,69,6,14,4,73.63,1
62,MSC,55,0,6,28,85.01,1
27,B.Tech,47,18,11,21,65.85,0
36,M.Tech,78,4,13,10,97.91,1
60,M.Tech,60,13,0,27,68.65,1
34,BSC,4,15,3,10,98.65,0
25,B.Tech,3,12,9,7,89.77,0
34,BBA,1,10,0,1,74.98,0
39,M.Tech,96,2,2,23,65.33,1
31,MSC,67,9,8,8,94.07,1
46,B.Tech,43,0,6,15,64.36,0
30,BSC,69,12,6,3,50.11,1
51,B.Tech,31,10,2,5,50,0
50,PhD,64,2,12,13,92.48,1
49,PhD,56,19,1,8,57.36,0
55,MBA,97,6,11,2,87.98,1
47,MBA,48,4,13,25,95.13,1
28,MBA,67,5,12,1,89.6,1
46,MBA,19,17,3,6,76.59,0
57,BBA,58,5,3,19,50.55,0
22,BSC,31,12,5,20,63.03,0
25,PhD,38,8,7,10,72.22,0
35,M.Tech,49,15,0,16,53.44,0
29,B.Tech,12,2,8,22,56.04,0
38,BSC,59,0,10,17,80.85,1
48,MSC,82,17,3,20,72.22,1
52,MSC,68,17,11,13,52.1,0
56,B.Tech,23,1,1,27,53.02,0
34,BSC,95,4,8,4,71.54,1
60,BSC,65,4,7,23,54.53,1
31,M.Tech,35,4,1,14,68.17,0
58,MBA,3,16,9,19,58.77,0
30,BBA,25,13,4,21,68.8,0
33,M.Tech,31,17,4,26,88.32,0
52,MSC,68,14,8,28,68.38,1
40,BSC,17,16,2,25,67.55,0
23,MBA,52,17,5,18,79.48,0
35,MBA,50,12,11,11,57.59,0
30,M.Tech,22,9,2,28,51.56,0
47,BBA,96,10,2,4,54.14,1
40,B.Tech,70,18,5,25,74.18,1
26,BBA,17,15,5,17,51.96,0
23,PhD,5,9,4,26,94.18,1
50,BSC,10,8,11,4,80.69,0
50,M.Tech,30,1,0,10,55.07,0
46,M.Tech,54,19,1,17,84.16,1
54,M.Tech,78,14,4,14,72.5,1
40,M.Tech,89,2,13,19,56.5,1
21,M.Tech,62,14,1,8,87.54,0
40,MBA,94,12,10,25,67.63,1
61,PhD,62,18,11,5,99.93,1
55,MBA,22,14,11,18,60.21,0
50,BSC,30,2,10,17,55.79,0
60,M.Tech,28,19,7,2,55.27,0
